,,,,,,,,
,,,,,,,,
,날짜,종가,시가,고가,저가,거래량,,
,,,,,,,,
,2025.11.21,"94,800","95,600","96,800","94,500","22,970,800",,
,,,,,,,,
,2025.11.20,"100,600","100,900","102,900","99,500","25,360,435",,
,,,,,,,,
,2025.11.19,"96,500","97,100","97,500","94,600","18,993,346",,
,,,,,,,,
,2025.11.18,"97,800","99,800","100,900","97,500","18,684,068",,
,,,,,,,,
,2025.11.17,"100,600","99,800","101,000","99,500","17,192,584",,
,,,,,,,,
,2025.11.14,"97,200","99,000","99,600","97,200","21,806,342",,
,,,,,,,,
,2025.11.13,"102,800","102,500","104,200","102,300","20,838,741",,
,,,,,,,,
,2025.11.12,"103,100","103,000","103,900","101,600","19,413,497",,
,,,,,,,,
,2025.11.11,"103,500","103,700","106,000","102,000","27,742,542",,
,,,,,,,,
,2025.11.10,"100,600","98,600","101,000","97,900","23,842,327",,
,,,,,,,,
,2025.11.07,"97,900","96,400","100,300","96,300","22,908,083",,
,,,,,,,,
,2025.11.06,"99,200","103,700","103,800","98,800","28,655,689",,
,,,,,,,,
,2025.11.05,"100,600","101,000","102,000","96,700","44,843,020",,
,,,,,,,,
,2025.11.04,"104,900","111,800","112,400","104,900","30,450,281",,
,,,,,,,,
,2025.11.03,"111,100","106,900","111,500","106,500","30,110,066",,
,,,,,,,,
,2025.10.31,"107,500","105,000","108,600","103,300","54,824,564",,
,,,,,,,,
,2025.10.30,"104,100","102,400","105,800","102,000","34,570,017",,
,,,,,,,,
,2025.10.29,"100,500","100,200","101,000","99,100","20,899,788",,
,,,,,,,,
,2025.10.28,"99,500","100,900","101,000","99,100","20,002,282",,
,,,,,,,,
,2025.10.27,"102,000","101,300","102,000","100,600","22,169,970",,
,,,,,,,,
,2025.10.24,"98,800","97,900","99,000","97,700","18,801,925",,
,,,,,,,,
,2025.10.23,"96,500","96,800","98,500","96,300","18,488,581",,
,,,,,,,,
,2025.10.22,"98,600","97,100","98,600","95,500","15,937,611",,
,,,,,,,,
,2025.10.21,"97,500","98,500","99,900","97,300","22,803,830",,
,,,,,,,,
,2025.10.20,"98,100","97,900","98,300","96,000","17,589,756",,
,,,,,,,,
,2025.10.17,"97,900","97,200","99,100","96,700","22,730,809",,
,,,,,,,,
,2025.10.16,"97,700","95,300","97,700","95,000","28,141,060",,
,,,,,,,,
,2025.10.15,"95,000","92,300","95,300","92,100","21,050,111",,
,,,,,,,,
,2025.10.14,"91,600","95,300","96,000","90,200","35,545,235",,
,,,,,,,,
,2025.10.13,"93,300","91,300","93,400","90,700","23,883,308",,
,,,,,,,,
,2025.10.10,"94,400","94,000","94,500","92,700","35,269,748",,
,,,,,,,,
,2025.10.02,"89,000","89,300","90,300","88,700","49,883,028",,
,,,,,,,,
,2025.10.01,"86,000","84,900","86,200","84,700","22,039,361",,
,,,,,,,,
